0, 24-10-2025 18:04:41, Hardware monitoring log v1.6 ,,,,,,,,,,
1, 24-10-2025 18:04:41, Radeon RX 580 Series,,,,,,,,,,
2, 24-10-2025 18:04:41, Power               ,Framerate           ,Frametime           ,,,,,,,Framerate           ,Frametime           
80, 24-10-2025 18:06:43,131.187,53.3,21.981,,,,,,,53.3,21.981
80, 24-10-2025 18:06:44,130.695,53.6,19.467,,,,,,,53.6,19.467
80, 24-10-2025 18:06:45,139.605,57,18.385,,,,,,,57,18.385
80, 24-10-2025 18:06:46,132.292,55.1,19.245,,,,,,,55.1,19.245
80, 24-10-2025 18:06:47,136.285,49.4,21.307,,,,,,,49.4,21.307
80, 24-10-2025 18:06:48,132.652,50.6,23.396,,,,,,,50.6,23.396
80, 24-10-2025 18:06:49,132.765,52.3,20.243,,,,,,,52.3,20.243
80, 24-10-2025 18:06:50,128.578,52.2,20.581,,,,,,,52.2,20.581
80, 24-10-2025 18:06:51,133.183,53.3,19.786,,,,,,,53.3,19.786
80, 24-10-2025 18:06:52,131.496,52.8,20.245,,,,,,,52.8,20.245
80, 24-10-2025 18:06:53,133.652,50.6,24.062,,,,,,,50.6,24.062
80, 24-10-2025 18:06:54,135.171,49.2,24.758,,,,,,,49.2,24.758
80, 24-10-2025 18:06:55,135.886,47.8,21.933,,,,,,,47.8,21.933
80, 24-10-2025 18:06:56,132.703,47.8,21.825,,,,,,,47.8,21.825
80, 24-10-2025 18:06:57,134.417,47.9,21.879,,,,,,,47.9,21.879
80, 24-10-2025 18:06:58,136.781,49.5,23.986,,,,,,,49.5,23.986
80, 24-10-2025 18:06:59,133.308,50.4,21.083,,,,,,,50.4,21.083
80, 24-10-2025 18:07:00,134.57,51.3,20.188,,,,,,,51.3,20.188
80, 24-10-2025 18:07:01,132,50.9,21.069,,,,,,,50.9,21.069
80, 24-10-2025 18:07:02,131.375,49.9,21.22,,,,,,,49.9,21.22
80, 24-10-2025 18:07:03,135.707,46.8,26.162,,,,,,,46.8,26.162
80, 24-10-2025 18:07:04,138.582,43.5,25.061,,,,,,,43.5,25.061
80, 24-10-2025 18:07:05,130.23,43.3,24.745,,,,,,,43.3,24.745
80, 24-10-2025 18:07:06,130.156,46.9,22.853,,,,,,,46.9,22.853
80, 24-10-2025 18:07:07,133.445,47.9,22.646,,,,,,,47.9,22.646
80, 24-10-2025 18:07:08,132.449,44.6,27.74,,,,,,,44.6,27.74
80, 24-10-2025 18:07:09,134.55,46.7,23.657,,,,,,,46.7,23.657
80, 24-10-2025 18:07:10,131.703,54.4,20.836,,,,,,,54.4,20.836
80, 24-10-2025 18:07:11,132.792,54.1,20.276,,,,,,,54.1,20.276
80, 24-10-2025 18:07:12,132.894,54.3,20.24,,,,,,,54.3,20.24
80, 24-10-2025 18:07:13,131.328,53.8,21.067,,,,,,,53.8,21.067
80, 24-10-2025 18:07:14,127.804,53.7,19.715,,,,,,,53.7,19.715
80, 24-10-2025 18:07:15,132.699,53.7,20.703,,,,,,,53.7,20.703
80, 24-10-2025 18:07:16,128.14,53.8,20.869,,,,,,,53.8,20.869
80, 24-10-2025 18:07:17,135.558,49.6,21.305,,,,,,,49.6,21.305
80, 24-10-2025 18:07:18,132.519,50.2,23.037,,,,,,,50.2,23.037
80, 24-10-2025 18:07:19,133.566,50.7,20.689,,,,,,,50.7,20.689
80, 24-10-2025 18:07:20,135.214,47.6,22.025,,,,,,,47.6,22.025
80, 24-10-2025 18:07:21,131.64,50.6,21.215,,,,,,,50.6,21.215
80, 24-10-2025 18:07:22,135.156,49.3,21.998,,,,,,,49.3,21.998
80, 24-10-2025 18:07:23,133.515,52,23.514,,,,,,,52,23.514
80, 24-10-2025 18:07:24,137.406,52.5,20.17,,,,,,,52.5,20.17
80, 24-10-2025 18:07:25,140.3,52.2,20.499,,,,,,,52.2,20.499
80, 24-10-2025 18:07:26,136.468,52,21.229,,,,,,,52,21.229
80, 24-10-2025 18:07:27,135.914,53.6,19.388,,,,,,,53.6,19.388
80, 24-10-2025 18:07:28,139.402,49.5,23.789,,,,,,,49.5,23.789
80, 24-10-2025 18:07:29,135.679,51.9,20.378,,,,,,,51.9,20.378
80, 24-10-2025 18:07:30,133.335,52.1,20.283,,,,,,,52.1,20.283
80, 24-10-2025 18:07:31,131.394,54.8,19.557,,,,,,,54.8,19.557
80, 24-10-2025 18:07:32,129.05,57.6,23.004,,,,,,,57.6,23.004
80, 24-10-2025 18:07:33,126.289,57.6,21.209,,,,,,,57.6,21.209
80, 24-10-2025 18:07:34,128.257,57.3,18.51,,,,,,,57.3,18.51
80, 24-10-2025 18:07:35,130.64,55.1,19.516,,,,,,,55.1,19.516
80, 24-10-2025 18:07:36,129.722,53.6,20.321,,,,,,,53.6,20.321
80, 24-10-2025 18:07:37,132.085,53.6,19.477,,,,,,,53.6,19.477
80, 24-10-2025 18:07:38,133.324,51.9,23.527,,,,,,,51.9,23.527
80, 24-10-2025 18:07:39,128.605,53.1,20.839,,,,,,,53.1,20.839
80, 24-10-2025 18:07:40,133.691,53.1,20.052,,,,,,,53.1,20.052
80, 24-10-2025 18:07:41,134.57,52.1,20.021,,,,,,,52.1,20.021
80, 24-10-2025 18:07:42,134.277,50,21.91,,,,,,,50,21.91
80, 24-10-2025 18:07:43,128.824,49.1,25.542,,,,,,,49.1,25.542
80, 24-10-2025 18:07:44,132.539,47.5,22.181,,,,,,,47.5,22.181
80, 24-10-2025 18:07:45,131.121,49.9,22.021,,,,,,,49.9,22.021
80, 24-10-2025 18:07:46,134.074,50.4,22.556,,,,,,,50.4,22.556
80, 24-10-2025 18:07:47,135.75,54,20.465,,,,,,,54,20.465
80, 24-10-2025 18:07:48,131.863,52.2,22.261,,,,,,,52.2,22.261
80, 24-10-2025 18:07:49,131.578,52.9,20.045,,,,,,,52.9,20.045
80, 24-10-2025 18:07:50,136.863,52.8,20.261,,,,,,,52.8,20.261
80, 24-10-2025 18:07:51,133.863,51.9,20.37,,,,,,,51.9,20.37
80, 24-10-2025 18:07:52,131.41,52.5,19.972,,,,,,,52.5,19.972
80, 24-10-2025 18:07:53,135.085,53.3,23.388,,,,,,,53.3,23.388
80, 24-10-2025 18:07:54,135.218,53.2,24.104,,,,,,,53.2,24.104
80, 24-10-2025 18:07:55,132.554,53.1,21.374,,,,,,,53.1,21.374
80, 24-10-2025 18:07:56,136.101,54.3,19.652,,,,,,,54.3,19.652
80, 24-10-2025 18:07:57,134.242,53.9,19.337,,,,,,,53.9,19.337
80, 24-10-2025 18:07:58,133.652,55.7,21.872,,,,,,,55.7,21.872
80, 24-10-2025 18:07:59,132.968,51.6,20.926,,,,,,,51.6,20.926
80, 24-10-2025 18:08:00,134.761,54.7,19.913,,,,,,,54.7,19.913
80, 24-10-2025 18:08:01,135.066,54.8,19.897,,,,,,,54.8,19.897
80, 24-10-2025 18:08:02,138.8,52.3,21.108,,,,,,,52.3,21.108
80, 24-10-2025 18:08:03,136.007,52.2,21.582,,,,,,,52.2,21.582
80, 24-10-2025 18:08:04,133.558,50.4,21.642,,,,,,,50.4,21.642
80, 24-10-2025 18:08:05,135.125,48.3,21.915,,,,,,,48.3,21.915
80, 24-10-2025 18:08:06,125.835,59.5,19.945,,,,,,,59.5,19.945
80, 24-10-2025 18:08:07,125.105,70.6,14.83,,,,,,,70.6,14.83
80, 24-10-2025 18:08:08,124.386,70.9,17.907,,,,,,,70.9,17.907
80, 24-10-2025 18:08:09,125.015,71.5,14.889,,,,,,,71.5,14.889
80, 24-10-2025 18:08:10,118.125,71,15.587,,,,,,,71,15.587
80, 24-10-2025 18:08:11,126.71,71.2,14.688,,,,,,,71.2,14.688
80, 24-10-2025 18:08:12,135.878,57.4,38.497,,,,,,,57.4,38.497
80, 24-10-2025 18:08:13,138.757,53.8,23.319,,,,,,,53.8,23.319
80, 24-10-2025 18:08:14,134.417,52.3,21.239,,,,,,,52.3,21.239
80, 24-10-2025 18:08:15,134.363,52,19.977,,,,,,,52,19.977
80, 24-10-2025 18:08:16,143.828,54.4,19.769,,,,,,,54.4,19.769
80, 24-10-2025 18:08:17,144.535,55.2,18.952,,,,,,,55.2,18.952
80, 24-10-2025 18:08:18,140.984,54.1,22.047,,,,,,,54.1,22.047
80, 24-10-2025 18:08:19,49.468,36.5,104.011,,,,,,,36.5,104.011
80, 24-10-2025 18:08:20,129.753,84.7,103.299,,,,,,,84.7,103.299
80, 24-10-2025 18:08:21,131.769,44.6,23.426,,,,,,,44.6,23.426
80, 24-10-2025 18:08:22,134.617,45.9,22.408,,,,,,,45.9,22.408
80, 24-10-2025 18:08:23,132.835,46.4,25.707,,,,,,,46.4,25.707
80, 24-10-2025 18:08:24,134.753,44.9,23.253,,,,,,,44.9,23.253
80, 24-10-2025 18:08:25,134.289,44.1,23.351,,,,,,,44.1,23.351
80, 24-10-2025 18:08:26,134.121,44.9,23.102,,,,,,,44.9,23.102
80, 24-10-2025 18:08:27,135.386,44.7,22.933,,,,,,,44.7,22.933
80, 24-10-2025 18:08:28,134.792,44,26.243,,,,,,,44,26.243
80, 24-10-2025 18:08:29,140.101,50.7,22.98,,,,,,,50.7,22.98
80, 24-10-2025 18:08:30,139.894,57.1,18.423,,,,,,,57.1,18.423
80, 24-10-2025 18:08:31,142.777,54.3,19.442,,,,,,,54.3,19.442
80, 24-10-2025 18:08:32,138.804,52.7,20.396,,,,,,,52.7,20.396
80, 24-10-2025 18:08:33,140.914,57.3,20.501,,,,,,,57.3,20.501
80, 24-10-2025 18:08:34,144.128,58.6,17.628,,,,,,,58.6,17.628
80, 24-10-2025 18:08:35,142.5,58.6,17.831,,,,,,,58.6,17.831
80, 24-10-2025 18:08:36,141.207,58.1,18.336,,,,,,,58.1,18.336
80, 24-10-2025 18:08:37,140.132,58.6,18.317,,,,,,,58.6,18.317
80, 24-10-2025 18:08:38,142.503,59.4,20.165,,,,,,,59.4,20.165
80, 24-10-2025 18:08:39,144.832,60.6,17.211,,,,,,,60.6,17.211
80, 24-10-2025 18:08:40,140.527,59.5,18.257,,,,,,,59.5,18.257
80, 24-10-2025 18:08:41,135.3,46.2,22.962,,,,,,,46.2,22.962
80, 24-10-2025 18:08:42,133.945,46,22.289,,,,,,,46,22.289
80, 24-10-2025 18:08:43,135.078,47,23.681,,,,,,,47,23.681
80, 24-10-2025 18:08:44,134.285,48.1,22.738,,,,,,,48.1,22.738
80, 24-10-2025 18:08:45,136.394,49,20.963,,,,,,,49,20.963
80, 24-10-2025 18:08:46,137.988,49.1,22.35,,,,,,,49.1,22.35
80, 24-10-2025 18:08:47,134.968,42.5,27.521,,,,,,,42.5,27.521
80, 24-10-2025 18:08:48,133.968,42.2,31.984,,,,,,,42.2,31.984
80, 24-10-2025 18:08:49,136.089,40.2,25.784,,,,,,,40.2,25.784
80, 24-10-2025 18:08:50,137.914,39.1,26.897,,,,,,,39.1,26.897
80, 24-10-2025 18:08:51,140.007,37.8,27.345,,,,,,,37.8,27.345
80, 24-10-2025 18:08:52,136.421,38.6,26.527,,,,,,,38.6,26.527
80, 24-10-2025 18:08:53,136.636,41,27.097,,,,,,,41,27.097
80, 24-10-2025 18:08:54,139.968,43.3,29.254,,,,,,,43.3,29.254
80, 24-10-2025 18:08:55,145.453,42.8,27.12,,,,,,,42.8,27.12
80, 24-10-2025 18:08:56,137.57,45.9,23.948,,,,,,,45.9,23.948
80, 24-10-2025 18:08:57,140.64,47.9,21.71,,,,,,,47.9,21.71
80, 24-10-2025 18:08:58,142.703,48.8,23.197,,,,,,,48.8,23.197
80, 24-10-2025 18:08:59,140.125,49.6,22.99,,,,,,,49.6,22.99
80, 24-10-2025 18:09:00,142.132,47.9,21.919,,,,,,,47.9,21.919
80, 24-10-2025 18:09:01,140.707,47.6,22.18,,,,,,,47.6,22.18
80, 24-10-2025 18:09:02,141.652,47.7,21.7,,,,,,,47.7,21.7
80, 24-10-2025 18:09:03,142.078,46.7,24.844,,,,,,,46.7,24.844
80, 24-10-2025 18:09:04,143.429,46.6,22.931,,,,,,,46.6,22.931
80, 24-10-2025 18:09:05,140.601,44.3,24.249,,,,,,,44.3,24.249
80, 24-10-2025 18:09:06,142.23,41.2,27.178,,,,,,,41.2,27.178
80, 24-10-2025 18:09:07,140.617,40.6,27.462,,,,,,,40.6,27.462
80, 24-10-2025 18:09:08,137.589,42.9,26.527,,,,,,,42.9,26.527
80, 24-10-2025 18:09:09,139.566,43.3,23.852,,,,,,,43.3,23.852
80, 24-10-2025 18:09:10,142.492,44.9,23.37,,,,,,,44.9,23.37
80, 24-10-2025 18:09:11,137.191,45.5,22.768,,,,,,,45.5,22.768
80, 24-10-2025 18:09:12,140.242,45.1,23.006,,,,,,,45.1,23.006
80, 24-10-2025 18:09:13,142.152,44.9,25.178,,,,,,,44.9,25.178
80, 24-10-2025 18:09:14,144.843,45.1,22.995,,,,,,,45.1,22.995
80, 24-10-2025 18:09:15,141.671,45,23.997,,,,,,,45,23.997
80, 24-10-2025 18:09:16,140,45.1,22.959,,,,,,,45.1,22.959
80, 24-10-2025 18:09:17,141.652,45.1,23.488,,,,,,,45.1,23.488
80, 24-10-2025 18:09:18,139.589,45,25.618,,,,,,,45,25.618
80, 24-10-2025 18:09:19,141.156,45.1,23.406,,,,,,,45.1,23.406
80, 24-10-2025 18:09:20,140.902,45.1,23.768,,,,,,,45.1,23.768
80, 24-10-2025 18:09:21,140.988,45.1,23.479,,,,,,,45.1,23.479
80, 24-10-2025 18:09:22,141.082,45.1,23.481,,,,,,,45.1,23.481
80, 24-10-2025 18:09:23,140.332,44.9,25.451,,,,,,,44.9,25.451
80, 24-10-2025 18:09:24,141.421,45.1,23.623,,,,,,,45.1,23.623
80, 24-10-2025 18:09:25,143.093,45,23.562,,,,,,,45,23.562
80, 24-10-2025 18:09:26,142.976,44.9,24.002,,,,,,,44.9,24.002
80, 24-10-2025 18:09:27,140.792,44.8,23.474,,,,,,,44.8,23.474
80, 24-10-2025 18:09:28,139.945,44.1,27.313,,,,,,,44.1,27.313
80, 24-10-2025 18:09:29,139.511,44.4,23.387,,,,,,,44.4,23.387
80, 24-10-2025 18:09:30,141.289,44.8,23.152,,,,,,,44.8,23.152
80, 24-10-2025 18:09:31,142.066,44.8,23.078,,,,,,,44.8,23.078
80, 24-10-2025 18:09:32,140.882,44.7,23.074,,,,,,,44.7,23.074
80, 24-10-2025 18:09:33,139.054,44.6,25.688,,,,,,,44.6,25.688
80, 24-10-2025 18:09:34,141.613,44.7,23.59,,,,,,,44.7,23.59
80, 24-10-2025 18:09:35,140.253,44.8,23.163,,,,,,,44.8,23.163
80, 24-10-2025 18:09:36,141.625,44.8,23.246,,,,,,,44.8,23.246
80, 24-10-2025 18:09:37,140.687,44.9,23.219,,,,,,,44.9,23.219
80, 24-10-2025 18:09:38,139.425,44.6,25.897,,,,,,,44.6,25.897
80, 24-10-2025 18:09:39,140.753,44.8,23.248,,,,,,,44.8,23.248
80, 24-10-2025 18:09:40,140.882,44.9,23.096,,,,,,,44.9,23.096
80, 24-10-2025 18:09:41,141.718,44.9,23.117,,,,,,,44.9,23.117
80, 24-10-2025 18:09:42,139.695,44.8,23.251,,,,,,,44.8,23.251
80, 24-10-2025 18:09:43,140.089,44.8,26.797,,,,,,,44.8,26.797
80, 24-10-2025 18:09:44,140.707,44.5,24.057,,,,,,,44.5,24.057
80, 24-10-2025 18:09:45,136.011,43.4,25.203,,,,,,,43.4,25.203
80, 24-10-2025 18:09:46,135.914,44.4,23.829,,,,,,,44.4,23.829
80, 24-10-2025 18:09:47,136.695,42.9,26.071,,,,,,,42.9,26.071
80, 24-10-2025 18:09:48,136.015,43,26.695,,,,,,,43,26.695
80, 24-10-2025 18:09:49,140.183,43.3,25.006,,,,,,,43.3,25.006
80, 24-10-2025 18:09:50,137.156,44.3,23.388,,,,,,,44.3,23.388
80, 24-10-2025 18:09:51,137.917,44.7,23.103,,,,,,,44.7,23.103
80, 24-10-2025 18:09:52,139.226,45.1,23.141,,,,,,,45.1,23.141
80, 24-10-2025 18:09:53,132.75,46.2,25.844,,,,,,,46.2,25.844
80, 24-10-2025 18:09:54,135.132,45.7,25.259,,,,,,,45.7,25.259
80, 24-10-2025 18:09:55,137.472,45.9,22.459,,,,,,,45.9,22.459
80, 24-10-2025 18:09:56,139.402,45.1,23.246,,,,,,,45.1,23.246
80, 24-10-2025 18:09:57,138.515,45.2,23.029,,,,,,,45.2,23.029
80, 24-10-2025 18:09:58,138.554,42.9,27.091,,,,,,,42.9,27.091
80, 24-10-2025 18:09:59,136.14,42.2,24.582,,,,,,,42.2,24.582
80, 24-10-2025 18:10:00,137.89,42.1,24.727,,,,,,,42.1,24.727
80, 24-10-2025 18:10:01,137.824,42.8,24.036,,,,,,,42.8,24.036
80, 24-10-2025 18:10:02,137.882,42.8,24.287,,,,,,,42.8,24.287
80, 24-10-2025 18:10:03,134.531,42.9,26.359,,,,,,,42.9,26.359
80, 24-10-2025 18:10:04,137.046,43.4,23.935,,,,,,,43.4,23.935
