os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),AMD Ryzen 7 9800X3D 8-Core Processor,AMD Radeon RX 9070 XT (RADV GFX1201),65438132,6.17.8-2-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
245.89,4.06686,21.3836,0,85,56,50,3117,1358,4.93295,257,10.7026,0,0,8038834082
255.682,3.91111,21.3836,0,85,56,50,3117,1358,4.93295,257,10.7026,0,0,8138906431
227.618,4.39332,21.3836,0,85,56,50,3117,1358,4.93295,257,10.7026,0,0,8238982797
244.969,4.08216,21.6182,0,84,56,50,3115,1358,4.93295,253,10.7319,0,0,8339046138
253.146,3.95029,21.6182,0,84,56,50,3115,1358,4.93295,253,10.7319,0,0,8439108899
239.132,4.1818,21.6182,0,84,56,50,3115,1358,4.93295,253,10.7319,0,0,8539175647
222.906,4.4862,21.6182,0,84,56,50,3115,1358,4.93295,253,10.7319,0,0,8639241493
271.083,3.68891,21.6182,0,84,56,50,3115,1358,4.93295,253,10.7319,0,0,8739305976
248.535,4.02358,21.2658,0,85,56,50,3105,1358,4.93295,254,10.7308,0,0,8839377523
242.663,4.12094,21.2658,0,85,56,50,3105,1358,4.93295,254,10.7308,0,0,8939447918
225.267,4.43918,21.2658,0,85,56,50,3105,1358,4.93295,254,10.7308,0,0,9039514185
273.461,3.65683,21.2658,0,85,56,50,3105,1358,4.93295,254,10.7308,0,0,9139585271
230.725,4.33417,21.2658,0,85,56,50,3105,1358,4.93295,254,10.7308,0,0,9239621542
248.33,4.0269,21.6521,0,85,56,50,3104,1358,4.93295,244,10.7312,0,0,9339693219
214.869,4.65399,21.6521,0,85,56,50,3104,1358,4.93295,244,10.7312,0,0,9439759416
251.865,3.97038,21.6521,0,85,56,50,3104,1358,4.93295,244,10.7312,0,0,9539822287
240.137,4.16428,21.6521,0,85,56,50,3104,1358,4.93295,244,10.7312,0,0,9639893373
227.977,4.3864,21.6521,0,85,56,50,3104,1358,4.93295,244,10.7312,0,0,9739953428
220.957,4.52577,21.5637,0,85,56,50,3113,1358,4.93295,249,10.7302,0,0,9840025175
218.821,4.56995,21.5637,0,85,56,50,3113,1358,4.93295,249,10.7302,0,0,9940074821
252.61,3.95868,21.5637,0,85,56,50,3113,1358,4.93295,249,10.7302,0,0,10040143813
237.376,4.21273,21.5637,0,85,56,50,3113,1358,4.93295,249,10.7302,0,0,10140214398
228.503,4.37632,21.5637,0,85,56,50,3113,1358,4.93295,249,10.7302,0,0,10240284993
213.667,4.68017,21.2928,0,87,56,50,3111,1358,4.93295,258,10.7278,0,0,10340354116
267.913,3.73256,21.2928,0,87,56,50,3111,1358,4.93295,258,10.7278,0,0,10440421926
238.328,4.1959,21.2928,0,87,56,50,3111,1358,4.93295,258,10.7278,0,0,10540483404
221.619,4.51225,21.2928,0,87,56,50,3111,1358,4.93295,258,10.7278,0,0,10640553368
